Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
Joulu-isku,fk20090232,1908,,1908,100.00 %,1,6,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090232
Joulu-juhla : kristillismielisten joululehti,fk20100637,1909 - 1910,,1909 - 1910,100.00 %,2,46,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100637
Joulu-kipinä : Tornion seminaarin toverikunnan lehti,fk16711,1936 - 1938,1942 - 1943,1936 - 1967,15.63 %,5,124,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk16711
Joulu-kukkia,fk20051016,1914 - 1915,,1904 - 1915,16.67 %,2,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051016
Joulu-kynttilä,fk35668,1903 - 1916,,1903 - 1913,100.00 %,14,333,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35668
Joulu-lahja,fk20050951,1908 - 1909,,1908,100.00 %,2,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050951
Joulu-lehti,fk20050955,1894,,1894,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050955
Joulu-lehti,fk20050956,1897 - 1898,,1897 - 1898,100.00 %,2,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050956
Joulu-porsas,fk35688,"1900, 1909, 1911 - 1913, 1921",,1900 - 1921,27.27 %,6,172,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35688
Joulu-rauha : Jeesus on meidän rauhamme,fk35682,1903 - 1916,,1903 - 1916,100.00 %,14,168,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35682
Joulu-ruusu,fk20100521,1905,,1905,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100521
Joulu-tonttu,fk20100860,1912,,1912,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100860
Joulu-toveri,fk20100862,1913,,1913,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100862
Joulu-tähti,fk20051017,1901,,1881 - 1901,4.76 %,3,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051017
Joulu-tähti,fk20050969,1893,,1893,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050969
Joulu-tähti : Suomen hätääkärsivien hyväksi,fk36484,1902,,1902,100.00 %,1,30,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36484
Joulu-ukko,fk20100735,1911,,1911,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100735
Joulu-viesti : Lahden ja ympäristön joululehti,fk31726,1938,,1938,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31726
Joulu-vihuri,fk20100526,1919,,1919,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100526
Joulu-wekkuli : pilalehti jouluksi,fk20050780,"1884, 1886, 1900",,1884 - 1900,17.65 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050780
Jouluairut : Kodin lehden joululehti,fk20050948,1914,,1914,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050948
Jouluhetki,fk34080,1925,,1925,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34080
Jouluhimmeli,fk20276,1938 - 1939,1940 - 1944,1938 - 1959,31.82 %,7,262,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20276
Jouluhuvi,fk36476,1901 - 1902,,1901 - 1902,100.00 %,2,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36476
Jouluihme,fk20100851,,1940,1940,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100851
Jouluilta,fk35645,"1900 - 1901, 1903 - 1904, 1906 - 1918",,1906 - 1918,100.00 %,17,222,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35645
Jouluilta : kristillinen joululehti Suomen kodeille,fk32772,1920 - 1932,,1920 - 1932,100.00 %,13,476,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32772
Joulujuhla,fk36477,1901 - 1902,,1901 - 1902,100.00 %,2,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36477
Joulujuhla,fk35646,"1909 - 1912, 1918",,1909 - 1918,50.00 %,5,146,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35646
Joulujuhla,fk11199,1926 - 1939,1940 - 1944,1926 - 2025,19.00 %,19,380,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11199
Joulujuhla,fk31770,1936,,1936,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31770
Joulujuhla 1927,fk20100852,1927,,1927,100.00 %,1,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100852
Joulujutelmia,fk20100731,1901,,1901,100.00 %,1,38,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100731
Joulukalenteri,fk36478,"1900 - 1901, 1905",,1900 - 1905,50.00 %,3,412,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36478
Joulukellot,fk20100732,1923,,1923,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100732
Joulukellot : Rauman nuorten kristillisen yhdistyksen joulujulkaisu,fk34081,"1925, 1927, 1929",,1925 - 1929,60.00 %,3,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34081
Joulukontti,fk27133,"1898 - 1903, 1906",,1898 - 1906,77.78 %,7,208,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27133
Joulukorsia : joulutervehdys Pohjois-Karjalasta,fk20100639,1902,,1902,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100639
Jouluksi,fk20050950,"1899, 1909",,1899,100.00 %,2,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050950
Joulukukka : lasten joululehti,fk34082,1918 - 1925,,1918 - 1925,100.00 %,8,354,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34082
Joulukuusi,fk24321,"1917 - 1919, 1921 - 1939",1941 - 1944,1917 - 1950,76.47 %,26,436,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24321
Joulukuusi : Suomen vankilavirkailijain liiton r.y. joulujulkaisu,fk20777,1934 - 1939,1940 - 1944,1934 - 1958,44.00 %,11,372,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20777
Joulukuusi : kuvallinen joululehti lapsille,fk36672,"1891 - 1892, 1901 - 1902",,1891 - 1892,100.00 %,4,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36672
Joulukynttilät,fk11202,1928 - 1939,1940 - 1944,1928 - 1966,43.59 %,17,680,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11202
Joulukyyhkynen,fk20100641,1900,,1900,100.00 %,1,30,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100641
Joulukärpänen,fk11203,1927 - 1938,1940 - 1944,1927 - 1967,41.46 %,18,624,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11203
Joululahja,fk20778,1915 - 1939,1941 - 1944,1915 - 1956,69.05 %,29,980,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20778
"Joululahja : hengellinen joululehti vanhoja, nuorisoa ja lapsia varten",fk35670,1908 - 1913,,1908 - 1913,100.00 %,6,154,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35670
Joululehti,fk36696,1887,,1887,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36696
Joululehti,fk34481,"1898 - 1905, 1907, 1918 - 1922",,1898 - 1922,56.00 %,14,414,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34481
Joululehti,fk20050989,1904,,1900 - 1904,20.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050989
Joululehti,fk36480,"1900, 1902 - 1903",,1902 - 1903,100.00 %,3,76,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36480
Joululehti,fk36481,"1895 - 1898, 1900 - 1905",,1903 - 1905,100.00 %,10,310,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36481
Joululehti : Hämettären tilaajille,fk20050967,1910,,1910,100.00 %,1,22,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050967
Joululehti : [Helsingin Kaijun],fk20050991,1909,,1909,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050991
Joululehti : kristillisen työväenliiton lehti,fk20100644,1909,,1909,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100644
Joululehti : uuden ajan julkaisu,fk20050957,1911,,1911,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050957
Joululehti Satakunnan kodeille,fk20100853,1915,,1915,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100853
Joululukemista Suomen kodeille 1913,fk20100856,1913,,1913,100.00 %,1,34,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100856
Joululukemisto,fk20100857,"1927, 1933",,1927 - 1933,28.57 %,3,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100857
Joululyhde,fk20051078,1901,,1901,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051078
Joululyhde : lasten joululehti,0359-1735,1913 - 1939,1940 - 1944,1913 - 2025,28.32 %,32,512,https://digi.kansalliskirjasto.fi/aikakausi/titles/0359-1735
Joululyhteitä,fk20100519,1899,,1899,100.00 %,1,42,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100519
Joulun ihme,fk20100858,1939,,1939,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100858
Joulun ilosanoma,fk31721,"1918, 1937 - 1938",,1918 - 1938,14.29 %,3,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31721
Joulun sana : Asevelipapit r.y. joulujulkaisu,fk25236,,1943 - 1944,1943 - 1944,100.00 %,2,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25236
Joulun viesti : Lukutuvan joulunumero,fk20050965,1908,,1908,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050965
Joulun viesti : kristillinen työväen joululehti,fk20050966,1908 - 1909,,1908 - 1909,100.00 %,2,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050966
Jouluna : Jämsän kansanopistoon perustettavan lahjoitusrahaston hyväksi,fk20050958,1911,,1911,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050958
Joulupahnoja,fk35686,1900 - 1909,,1900 - 1909,100.00 %,10,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35686
Joulupartio : joululehti Suomen reippaalle nuorisolle,fk20050959,1921,,1921 - 1922,50.00 %,1,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050959
Joulupirtti : Heinolan lehden joulujulkaisu,fk34962,1916,,1916,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34962
Joulupirtti : Suomen kirjailijaliiton ja Kustannusosakeyhtiö Otavan toimittama joululehti,fk20100646,1906,,1906,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100646
Joulupistiäinen : Kuohun joulujulkaisu,fk20210162,,1943,1942 - 1943,50.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210162
Jouluporsas,fk20050960,1915,,1915,100.00 %,2,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050960
Joulupukki,fk36655,1900 - 1939,1940 - 1944,1900 - 1966,67.16 %,112,2406,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36655
Joulupuu / julkaisija: Keskusmetsäseura Tapio,fk20100520,1939,,1939,100.00 %,1,40,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100520
Joulupähkinöitä,fk25207,1936 - 1939,1942 - 1944,1936 - 1950,46.67 %,7,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25207
Joulurauha,fk11210,1930 - 1939,1940 - 1944,1930 - 1966,40.54 %,15,360,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11210
Joulurauha : Jaakkiman sanomain joululehti,fk33025,"1923 - 1926, 1928 - 1930, 1932",,1920 - 1935,50.00 %,8,164,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk33025
Joulurauha : Parikkalan sanomain joululehti,fk34083,1923 - 1924,,1920 - 1924,40.00 %,2,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34083
Joulusanoma : Suomen ev. luth. todistajain seuran joululehti,fk20050962,1921 - 1923,,1921 - 1923,100.00 %,3,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050962
Joulusanoma lapsille,fk25208,1891 - 1939,"1940 - 1941, 1944 - 1945",1891 - 1945,96.36 %,61,834,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25208
Joulusoihtu,fk31722,1938,,1938,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31722
Joulusoihtu : N. S. Valon Soihdun joulujulkaisu,fk20100522,1912,,1912,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100522
Joulusoihtu : Turun l. etel. vaalip. sos.-dem. piiritoimikunnan joulujulkaisu,fk35683,"1912 - 1913, 1915",,1912 - 1915,75.00 %,3,202,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35683
Joulutarinoita,fk20100523,1938,,1938,100.00 %,1,14,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100523
Joulutaru,fk34763,"1911 - 1913, 1915 - 1917",,1911 - 1917,85.71 %,6,120,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34763
Joulutervehdys,fk36483,1888 - 1903,,1888 - 1903,100.00 %,16,372,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36483
Joulutervehdys,fk27135,"1901 - 1903, 1905 - 1906",,1901 - 1906,83.33 %,5,244,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27135
Joulutervehdys,fk20050964,1911,,1911,100.00 %,1,18,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050964
Joulutervehdys,fk20100524,1915 - 1916,,1915 - 1916,100.00 %,2,58,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100524
Joulutervehdys,fk20210170,,1941,1941,100.00 %,1,5,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210170
Joulutervehdys / Sortavalan evankelinen seura,fk20100525,1922,,1922,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100525
Joulutervehdys : Hämeenlinnan sotasairaalan joulujulkaisu,fk20100736,,1942,1942,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100736
Joulutervehdys : Salaman vakuutuksen ottajille,fk32774,1931 - 1932,,1931 - 1932,100.00 %,2,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32774
Joulutervehdys Nuorukaisille,fk20050968,1891,,1891,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050968
Joulutervehdys Suomen rannikkopuolustukselle,fk20100859,1925,,1925,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100859
Joulutonttu,fk20283,1934 - 1939,1941 - 1944,1934 - 1960,37.04 %,10,160,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20283
Joulutouhu,fk20288,1932 - 1939,1940 - 1944,1933 - 1958,50.00 %,13,798,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20288
Joulutoveri,fk20100861,1903,,1903,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100861
Joulutunnelma,fk11214,1912 - 1939,1940 - 1944,1912 - 1967,58.93 %,33,1338,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11214
Joulutykki,fk20210163,,1941,1941,100.00 %,2,25,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210163
Joulutähti,1239-6923,"1907 - 1909, 1912 - 1939",1940 - 1944,1907 - 2025,30.25 %,36,1068,https://digi.kansalliskirjasto.fi/aikakausi/titles/1239-6923
Joulutähti,fk20100737,1910,,1910,100.00 %,1,30,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100737
Joulutähti,fk20100863,1918,,1918,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100863
Joulutähti,fk20100738,,1942,1942,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100738
Jouluvalo,fk35684,"1912, 1914 - 1915",,1912 - 1915,75.00 %,3,76,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35684
Jouluvalo,fk23934,1928 - 1938,1942 - 1944,1928 - 1954,51.85 %,14,396,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk23934
Jouluvalo : Pohjois-Savon aikakauslehti,fk32320,1934,,1934,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32320
Jouluvieras inkeriläisiin koteihin,fk36485,1903 - 1906,,1903 - 1905,100.00 %,4,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36485
Jouluviesti,fk36486,1902 - 1904,,1902 - 1904,100.00 %,3,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36486
Jouluviesti,fk36487,1903,,1903,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36487
Jouluviesti,fk20284,,"1926 - 1927, 1932 - 1939, 1941 - 1958",1927 - 1958,87.50 %,28,1008,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20284
Jouluviesti,fk32321,"1930 - 1931, 1933 - 1934",,1930 - 1934,80.00 %,4,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32321
Jouluviesti : Someron seudun joululehti,fk20100739,1935,,1935,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100739
Jouluviesti Suomen kansalle,fk20100648,1912,,1912,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100648
Jouluvuokkoja,fk20140028,1902,,1902,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20140028
Jouluwarpunen / toim. Kaarlo Ijäs,fk20100864,1934,,1934,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100864
Journal of agricultural science in Finland,0782-4386,,1984 - 1991,1984 - 1991,100.00 %,41,3866,https://digi.kansalliskirjasto.fi/aikakausi/titles/0782-4386
Journal of the Scientific Agricultural Society of Finland,0024-8835,,1967 - 1983,1967 - 1983,100.00 %,82,8206,https://digi.kansalliskirjasto.fi/aikakausi/titles/0024-8835
Journalen Våra Kvinnor,fk00455,1927 - 1929,,1927 - 1929,100.00 %,49,1304,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00455
Jousi,fk31034,,1942,1942,100.00 %,19,98,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31034
Jousi : Saimaan rykmentin rintamalehti,fk20210164,,1942 - 1944,1942 - 1944,100.00 %,84,84,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210164
Jousimies : Pohjois-Karjalan rintamalehti,fk00624,,1940 - 1941,1940 - 1941,100.00 %,17,29,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00624
Jousimies : Suomenkielisten sanomalehtimiesten yhteisjulkaisu,fk11220,1921 - 1939,1940 - 1944,1921 - 1973,45.28 %,24,2884,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11220
Jousimies : armeijakunnan rintamalehti,fk00623,,1941,1941,100.00 %,24,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00623
Joutohetki,fk00625,1909 - 1910,,1909 - 1910,100.00 %,18,108,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00625
Joutsan Seutu,0782-6001,,2016 - 2024,1971 - 2025,16.36 %,450,5784,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6001
Joutsen,fk20100470,"1932 - 1933, 1937 - 1938",,1932 - 1938,57.14 %,14,135,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100470
Joutseno,0357-0983,,2016 - 2024,1966 - 2025,15.00 %,417,5416,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-0983
Jubelklockan : Pingstförsamlingens jultidning,fk34958,1920 - 1924,,1920 - 1924,100.00 %,5,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34958
Jubilaeumsaaret fortsätter med glans!,fk20051084,1939,,1939,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051084
Jubileumsåret fortsetter strålende!,fk20051086,1939,,1939,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051086
Jubileumsåret fortsätter med glans!,fk20051085,1939,,1939,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051085
Judisk krönika,fk00630,1925,,1918 - 1925,12.50 %,5,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00630
Judisk tidskrift,fk00631,1928,,1928,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00631
Juhannus,fk20100650,1902,,1902,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100650
Juhannus,fk20100651,1902,,1902,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100651
Juhannus,fk20110195,,1928,1928,100.00 %,1,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110195
Juhannus : Amerikan suomalaisten kesäjulkaisu,fk25213,,"1941 - 1943, 1945 - 1947",1941 - 1947,85.71 %,6,240,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25213
Juhannus-iloa kaikille : lännen Lähetysystävien juhannusjulkaisu,fk20110626,1919,,1919,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110626
Juhannus-ruusu,fk35691,1910 - 1915,,1910 - 1915,100.00 %,6,120,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35691
Juhannus-soihtu,fk20100742,1911,,1911,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100742
"Juhannus-wekkuli : huwittawaa lukemista nuorille ja wanhoille : ilopilleriä iloisille, naurupulweria surewille",fk20050781,"1898 - 1899, 1905",,1898 - 1905,37.50 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050781
Juhannuskellot : Rauman nuorten kristillisen yhdistyksen kesäjulkaisu,fk20100740,1924,,1924,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100740
Juhannuskokko,fk20100741,1902,,1902,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100741
Juhannuslehti,fk20100528,1905,,1905,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100528
Juhannuslehti : lukemisia lehtimajajuhlaksi,fk20100527,1901,,1901,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100527
Juhannuspommi,fk35690,"1909 - 1910, 1912 - 1913",,1909 - 1913,80.00 %,4,68,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35690
Juhannustuli : kaunokirjallinen juhannusjulkaisu,fk20100652,1910,,1910,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100652
Juhannusviesti : New Yorkin uutisten kustantama juhannuslehti,fk24328,1918 - 1919,1949,1949,100.00 %,3,358,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24328
Juhla-lehti : raittiusasian satawuotisen olemisen muistoksi,fk20090701,1885,,1885,100.00 %,1,28,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090701
Juhlajuna : S. V. R. junamiesyhdistyksen 15-vuotis juhlajulkaisu 1923-1938,fk20090757,1938,,1938,100.00 %,1,68,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090757
Juhlalehti : kirjapainotaidon 250 vuotisen Suomessa olon johdosta,fk20090705,1892,,1892,100.00 %,2,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090705
Juhlaviesti : puolueeton joululehti Suomen kodeille ja kaikille kansalaisille,fk20100743,1928,,1928,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100743
Jul,fk20050986,"1901, 1910",,1888 - 1912,8.00 %,2,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050986
Jul,fk20050987,1895,,1895,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050987
Jul,fk980179,1895 - 1897,,1895 - 1897,100.00 %,3,106,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980179
Jul,fk20051021,1908,,1908,100.00 %,2,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051021
Jul,fk34960,"1908 - 1918, 1920",,1908 - 1920,92.31 %,12,184,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34960
Jul i Borgå,fk33127,"1926, 1928 - 1930",,1926 - 1930,80.00 %,4,64,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk33127
Jul i Tyrgils stad,fk32437,"1921, 1923 - 1938",,1921 - 1938,94.44 %,17,582,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32437
Jul-Blad för ung och gammal,fk27201,1906 - 1913,,1899 - 1913,53.33 %,8,352,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27201
Jul-Lottan : jultidning utgiven till förmån för skyddskår och Lotta-Svärd,fk31040,1920 - 1939,1940 - 1943,1920 - 1943,100.00 %,25,1580,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31040
Jul-bocken,fk20090230,1887,,1879,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090230
"Jul-bocken : illustreradt skämt blad utan illustrationer, med litet skämt och litet allvar",fk980474,1875,,1887,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980474
Jul-hugg,fk20090231,1908,,1908,100.00 %,1,6,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090231
Jul-munter,fk20050782,1900,,1900,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050782
Jul-nisse : tillfälligt skämtblad,fk20050783,1901,,1901,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050783
Jul-scouten : jultidning utgiven av Finlands svenska scoutförbund till förmån för dess verksamhet,fk20100653,1929 - 1938,"1940, 1943 - 1944",1929 - 1975,27.66 %,13,476,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100653
Jul-skämt,fk33129,1922 - 1931,,1922 - 1931,100.00 %,10,156,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk33129
Jul-tappen,fk20050981,1911,,1911,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050981
Julbladet bofinken,fk20050972,1903,,1903,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050972
Julbocken : illustrerad jultidning för barn,fk980180,1897,,1897,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980180
Julbocken : skämtsam jul-tidning,fk20090229,1879,,1875,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090229
Julbrev till alla Tolkispojkar ute vid fronterna,fk31036,,1943,1943,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31036
Julbudskap till barnen,fk27206,1891 - 1908,,1890 - 1908,94.74 %,18,184,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27206
